group,code,priority,name,description,link
Sphagnum acid bogs,7110,true,Active raised bogs,Acid bogs poor in mineral nutrients sustained mainly by rainwater.,https://eunis.eea.europa.eu/habitats/10142
Sphagnum acid bogs,7120,false,Degraded raised bogs,Raised bogs where there has been disruption to the natural hydrology of the peat body.,https://eunis.eea.europa.eu/habitats/10143
Sphagnum acid bogs,7130,true,Blanket bogs,Extensive bog communities or landscapes on flat or sloping ground with poor surface drainage.,https://eunis.eea.europa.eu/habitats/10144
Sphagnum acid bogs,7140,false,Transition mires and quaking bogs,Peat-forming communities developed in low to moderately nutrient-rich water surfaces.,https://eunis.eea.europa.eu/habitats/10145
Sphagnum acid bogs,7150,false,Depressions on peat substrates of the Rhynchosporion,Highly constant pioneer communities of the Rhynchosporion on humid exposed peat or sometimes sand.,https://eunis.eea.europa.eu/habitats/10146
Sphagnum acid bogs,7160,false,Fennoscandian mineral-rich springs and spring fens,Springs and spring fens characterized by continuous flow of groundwater.,https://eunis.eea.europa.eu/habitats/10147
Calcareous fens,7210,true,Calcareous fens with Cladium mariscus,Cladium mariscus beds of the emergent-plant zones of lakes or fallow lands or succession stage of extensively farmed wet meadows.,https://eunis.eea.europa.eu/habitats/10149
Calcareous fens,7220,true,Petrifying springs with tufa formation,Hard water springs with active formation of travertine or tufa.,https://eunis.eea.europa.eu/habitats/10150
Calcareous fens,7230,false,Alkaline fens,Wetlands mostly or largely occupied by peat or tufa-producing small sedge and brown moss communities.,https://eunis.eea.europa.eu/habitats/10151
Calcareous fens,7240,true,Alpine pioneer formations,Alpine and peri-Alpine communities colonising neutral to slightly acid substrates soaked by cold water.,https://eunis.eea.europa.eu/habitats/10152
Boreal mires,7310,true,Aapa mires,Mire complexes in boreal zones characterised by minerotrophic fen vegetation in the central parts of the complexes.,https://eunis.eea.europa.eu/habitats/10154
Boreal mires,7320,true,Palsa mires,Subarctic mires where the climate is slightly continental and the mean annual temperature is below minus 1 degree Celsius.,https://eunis.eea.europa.eu/habitats/10155
